Desc Checklist;Check Id;Check Code;Desc Check
a.1.1 - Inventariado Acceso Móvil GIROS;6924;AIG40;Enrutado de los Trails lógicos E2E VLAN por los Trails físicos,GRUPOS ó Túneles correspondientes según normativa y diseño. (GRAVE: no afecte al servicio o mantenimiento)
a.1.1 - Inventariado Acceso Móvil GIROS;6925;AIG41;Creación de Vanos de Radio según normativa.  (GRAVE: no afecte al servicio o mantenimiento)
a.1.1 - Inventariado Acceso Móvil GIROS;6926;AIG42;Creación de Subsistemas para Equipos Acceso Radio según normativa. (GRAVE: no afecte al servicio o mantenimiento)
a.1.1 - Inventariado Acceso Móvil GIROS;7031;AIG43;Creación y codificación de Equipos de Transmisión según normativa. (LEVE)
a.1.1 - Inventariado Acceso Móvil GIROS;7033;AIG44;Creación de Tarjetas para Equipos de Transmisión según normativa  y diseño (LEVE: no afecta al servicio ni su calidad así como a la mantenibilidad)
a.1.1 - Inventariado Acceso Móvil GIROS;7034;AIG45;Creación de Tarjetas para Equipos Acceso Radio según normativa  y diseño (LEVE: no afecta al servicio ni su calidad así como a la mantenibilidad)
a.1.1 - Inventariado Acceso Móvil GIROS;7123;AIG46;Inventariado del direccionamiento IP (IPAM)
a.1.1.a - Inventariado Acceso Móvil GIROS (RTI1SF);6934;AIG1-RTI1SF;Codificación y Creación de Emplazamientos según Normativa.
a.1.1.a - Inventariado Acceso Móvil GIROS (RTI1SF);6935;AIG3-RTI1SF;Creación de Salas/ Eliminación Salas sobrantes según normativa.
a.1.1.a - Inventariado Acceso Móvil GIROS (RTI1SF);6936;AIG4-RTI1SF;Creación y codificación de Equipos de Acceso Radio según normativa.
a.1.1.a - Inventariado Acceso Móvil GIROS (RTI1SF);6937;AIG38-RTI1SF;Creación y codificación de Equipos de Acceso Radio según normativa. (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6979;AIG13 - RTI2DD;Creación de Vanos de Radio según normativa.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6980;AIG15 - RTI2DD;Creación de LLAA según normativa.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6981;AIG10 - RTI2DD;Creación de Repartidores  y cableado de las tarjetas a dichos repartidores según normativas.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6982;AIG11 - RTI2DD;Creación de Cables de Paso (Trunks entre repartidores) según normativa.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6983;AIG12 - RTI2DD;Creación de los PLCs de FO según normativas.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6984;AIG2 - RTI2DD;Verificar que el Código de Despliegue está relleno y es correcto (vinculación GIROS-SEDRA)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6985;AIG5 - RTI2DD;Creación y codificación de Equipos de Transmisión según normativa.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6986;AIG7 - RTI2DD;Creación de Subsistemas para Equipos de Transmisión según normativa.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6987;AIG6 - RTI2DD;Creación de Subsistemas para Equipos Acceso Radio según normativa.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6988;AIG8 - RTI2DD;Creación de Tarjetas para Equipos Acceso Radio según normativa  y diseño
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6989;AIG9 - RTI2DD;Creación de Tarjetas para Equipos de Transmisión según normativa  y diseño
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6990;AIG14 - RTI2DD;Asegurar que la pestaña de atributos (si existe) se corresponde con el diseño.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6991;AIG16a - RTI2DD;Creación de Trails físicos asociados a tarjetas/ repartidores y comprobación de que las protecciones estén creadas según normativa y diseño (CRÍTICO)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6992;AIG17 - RTI2DD;Creación de Trails lógicos E2E VLAN por Tecnología según normativa.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6993;AIG20 - RTI2DD;Creación de Grupos (GIMAS,ML-PPP, GigaBitEth, etc) y creación de protecciones según normativa y diseño
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6994;AIG21 - RTI2DD;Asociación/Desasociación de los Trails físicos dentro de los Grupos (GIMAS,ML-PPP, GigaBitEth, etc) según normativa
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6995;AIG23 - RTI2DD;Enrutado de los Túneles IP por los Trails físicos adecuados.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6996;AIG24 - RTI2DD;Enrutado de los Trails lógicos E2E VLAN por los Trails físicos,GRUPOS ó Túneles correspondientes según normativa y diseño.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6997;AIG25 - RTI2DD;Asociación de las Ips de gestión a los equipos
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6998;AIG26 - RTI2DD;Asociación de las Ips de Interfaz a los Trails, GRUPOS y Túneles.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);6999;AIG27 - RTI2DD;Verificar que la ruta de gestión para los nuevos equipos instalados cumple la normativa y diseño.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7000;AIG28 - RTI2DD;Verificar que la ruta de sincronismo para los nuevos equipos instalados cumple la normativa y diseño.
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7001;AIG16b - RTI2DD;Creación de Trails físicos asociados a tarjetas/ repartidores y comprobación de que las protecciones estén creadas según normativa y diseño (LEVE)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7002;AIG29 - RTI2DD;Creación de Trails lógicos E2E IP
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7003;AIG30 - RTI2DD;Enrutado de los trails lógicos VLAN dentro del E2E IP
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7004;AIG22 - RTI2DD;Creación de los Túneles LSP y creación de las protecciones según normativa y diseño
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7005;AIG31 - RTI2DD;Creación de Grupos (GIMAS,ML-PPP, GigaBitEth, etc) y creación de protecciones según normativa y diseño (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7006;AIG32 - RTI2DD;Enrutado de los trails lógicos VLAN dentro del E2E IP (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7007;AIG33 - RTI2DD;Creación de los Túneles LSP y creación de las protecciones según normativa y diseño (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7008;AIG34 - RTI2DD;Creación de Trails lógicos E2E IP (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7009;AIG35 - RTI2DD;Creación de Tarjetas para Equipos de Transmisión según normativa  y diseño (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7010;AIG16c - RTI2DD;Creación de Trails físicos asociados a tarjetas/ repartidores y comprobación de que las protecciones estén creadas según normativa y diseño (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7011;AIG36 - RTI2DD;Creación de Trails lógicos E2E VLAN por Tecnología según normativa. (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7016;AIG37 - RTI2DD;Creación y codificación de Equipos de Transmisión según normativa. (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7017;AIG39 - RTI2DD;Creación de Tarjetas para Equipos Acceso Radio según normativa  y diseño (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7018;AIG40 - RTI2DD;Enrutado de los Trails lógicos E2E VLAN por los Trails físicos,GRUPOS ó Túneles correspondientes según normativa y diseño. (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7019;AIG41 - RTI2DD;Creación de Vanos de Radio según normativa.  (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7020;AIG42 - RTI2DD;Creación de Subsistemas para Equipos Acceso Radio según normativa. (GRAVE: no afecte al servicio o mantenimiento)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7032;AIG43 - RTI2DD;Creación y codificación de Equipos de Transmisión según normativa. (LEVE)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7035;AIG44 - RTI2DD;Creación de Tarjetas para Equipos de Transmisión según normativa  y diseño (LEVE: no afecta al servicio ni su calidad así como a la mantenibilidad)
a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);7036;AIG45 - RTI2DD;Creación de Tarjetas para Equipos Acceso Radio según normativa  y diseño (LEVE: no afecta al servicio ni su calidad así como a la mantenibilidad)
a.1.2 - Inventariado Acceso Móvil SEDRA;5987;AIS1;Creación de Emplazamientos según normativa. 
a.1.2 - Inventariado Acceso Móvil SEDRA;5988;AIS2;Asociación de los Emplazamientos a los candidatos tecnológicos que vuelcan de GIS para equipos Acceso Radio Móvil.
a.1.2 - Inventariado Acceso Móvil SEDRA;5989;ASI3;Comprobación del paso de GIS a SEDRA de Equipos/Tecnologías/Sharing asociadas, para los equipos Acceso Radio Móvil
a.1.2 - Inventariado Acceso Móvil SEDRA;5991;ASI5;Comprobación del resto de campos de la pestaña general para los Equipos de Acceso Radio: Controladora, Proyecto, Metaproyecto...Comprobación de las fechas definidas en la fase de diseño según normativa.
a.1.2 - Inventariado Acceso Móvil SEDRA;5992;ASI6;Comprobación del resto de campos de la pestaña general para los Equipos de Transmisión: Tipo, Modelo, Año presupuestario, Suministrador...Comprobación de las fechas definidas en la fase de diseño según normativa.
a.1.2 - Inventariado Acceso Móvil SEDRA;6614;ASI4;Creación y codificación de  Equipos de Transmisión (Tipados y Modelos).
a.1.2 - Inventariado Acceso Móvil SEDRA;6910;AIS7;Asociación de los Emplazamientos a los candidatos tecnológicos que vuelcan de GIS para equipos Acceso Radio Móvil. (GRAVE: no afecte al servicio o mantenimiento)
a.1.2 - Inventariado Acceso Móvil SEDRA;6911;AIS8;Comprobación del paso de GIS a SEDRA de Equipos/Tecnologías/Sharing asociadas, para los equipos Acceso Radio Móvil (GRAVE: no afecte al servicio o mantenimiento)
a.1.2 - Inventariado Acceso Móvil SEDRA;6927;AIS9;Creación y codificación de  Equipos de Transmisión (Tipados y Modelos). (GRAVE: no afecte al servicio o mantenimiento)
a.1.2.a - Inventariado Acceso Móvil SEDRA (RTI1SF);6940;AIS1-RTI1SF;Creación de Emplazamientos según normativa.
a.1.2.a - Inventariado Acceso Móvil SEDRA (RTI1SF);6941;AIS2-RTI1SF;Asociación de los Emplazamientos a los candidatos tecnológicos que vuelcan de GIS para equipos Acceso Radio Móvil.
a.1.2.a - Inventariado Acceso Móvil SEDRA (RTI1SF);6942;ASI3-RTI1SF;Comprobación del paso de GIS a SEDRA de Equipos/Tecnologías/Sharing asociadas, para los equipos Acceso Radio Móvil
a.1.2.a - Inventariado Acceso Móvil SEDRA (RTI1SF);6943;ASI5-RTI1SF;Comprobación del resto de campos de la pestaña general para los Equipos de Acceso Radio: Controladora, Proyecto, Metaproyecto...Comprobación de las fechas definidas en la fase de diseño según normativa.
a.1.2.a - Inventariado Acceso Móvil SEDRA (RTI1SF);6944;AIS7-RTI1SF;Asociación de los Emplazamientos a los candidatos tecnológicos que vuelcan de GIS para equipos Acceso Radio Móvil. (GRAVE: no afecte al servicio o mantenimiento)
a.1.2.a - Inventariado Acceso Móvil SEDRA (RTI1SF);6945;AIS8-RTI1SF;Comprobación del paso de GIS a SEDRA de Equipos/Tecnologías/Sharing asociadas, para los equipos Acceso Radio Móvil (GRAVE: no afecte al servicio o mantenimiento)
a.1.2.b - Inventariado Acceso Móvil SEDRA (RTI2DD);7022;ASI6-RTI2DD;Comprobación del resto de campos de la pestaña general para los Equipos de Transmisión: Tipo, Modelo, Año presupuestario, Suministrador...Comprobación de las fechas definidas en la fase de diseño según normativa.
a.1.2.b - Inventariado Acceso Móvil SEDRA (RTI2DD);7023;ASI4-RTI2DD;Creación y codificación de  Equipos de Transmisión (Tipados y Modelos).
a.1.2.b - Inventariado Acceso Móvil SEDRA (RTI2DD);7024;ASI9-RTI2DD;Creación y codificación de  Equipos de Transmisión (Tipados y Modelos). (GRAVE: no afecte al servicio o mantenimiento)
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;5995;AIGI3;Datos candidato común
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;5996;AIGI4;Creación equipo
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;5997;AIGI5;Tecnología en diseño y no documentada
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;5998;AIGI6;Datos Equipo 
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;5999;AIGI7;Datos Configuración
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;6000;AIGI8;LAC asociado correctamente a BSC/RNC
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;6001;AIGI9;Sharing + Operador + código sharing otro operador correcto (en configuración y sector)
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;6002;AIGI10;Datos Sistema Radiante correctos
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;6003;AIGI11;Datos configuración sectores (1+1+1, 2+2+2, etc)
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;6118;AIGI13;Datos localización candidato común correctos (Municipio, Dirección, Que la dirección coincida con la ubicación de la geometría)
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;6912;AIGI14;Datos localización candidato común correctos (Municipio, Dirección, Que la dirección coincida con la ubicación de la geometría) (GRAVE: no afecte al servicio o mantenimiento)
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;6929;AIGI16;Tecnología en diseño y no documentada (GRAVE: no afecte al servicio o mantenimiento)
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;6930;AIGI17;Creación equipo (GRAVE: no afecte al servicio o mantenimiento)
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;5993;AIGI1;Nominal Común - Status GIS/SEDRA completo (CRÍTICO: afecta al servicio o a la mantenibilidad)
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;5994;AIGI2;Nominal Tecnológico - Status GIS/SEDRA Completo (CRÍTICO: afecta al servicio o a la mantenibilidad)
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;6928;AIGI15;Nominal Tecnológico - Status GIS/SEDRA Completo (GRAVE: no afecte al servicio o mantenimiento)
a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;6931;AIGI18;Nominal Común - Status GIS/SEDRA completo (GRAVE: no afecte al servicio o mantenimiento)
a.1.4 - Inventariado Acceso Móvil IQLINK;6005;AIQ1;Creación de Vanos de Radio según normativa.
a.1.4 - Inventariado Acceso Móvil IQLINK;6006;AIQ2;Diseño del enlace en Iqlink (site, banda, BW, equipos, capacidad, modulación, plan frecuencias, field margin, ...)
a.1.4 - Inventariado Acceso Móvil IQLINK;6007;AIQ3;Estudio del enlace en Iqlink (Fade margin, índice de lluvia, indisponibilidad por lluvia,  Total Outage, ...)
a.1.4 - Inventariado Acceso Móvil IQLINK;6913;AIQ4;Creación de Vanos de Radio según normativa. (GRAVE: no afecte al servicio o mantenimiento)
a.1.6 - Inventariado Acceso Móvil Entregables;6015;AIE1;Entregables correspondientes al diseño definidos en el proyecto del tipo:  Proyecto Técnico justificativo de transmisión a nivel de cluster, Arquitectura lógica E2E transmisión cluster, Low Level Design Radio, Acta de Replanteo….
a.1.6 - Inventariado Acceso Móvil Entregables;6016;AIE2;Entregables correspondientes al diseño definidos en el proyecto del tipo: Pre-pedidos, CAP….
a.1.6 - Inventariado Acceso Móvil Entregables;7037;AIE3;Documentación corrrespondiente a solicitud de certificación radioeléctrica (EMR)
a.1.6 - Inventariado Acceso Móvil Entregables;7083;AIE4;EMR: cálculos correctamente realizados
a.1.6 - Inventariado Acceso Móvil Entregables;7084;AIE5;EMR: calidad del dato (emplazamientos, torres, expedientes)
a.1.6 - Inventariado Acceso Móvil Entregables;7085;AIE6;EMR: dirección, ubicación y coordenadas correctas
a.1.6 - Inventariado Acceso Móvil Entregables;7086;AIE7;EMR: realización diseño correcta
a.1.6 - Inventariado Acceso Móvil Entregables;7087;AIE8;EMR: indicación medidas
a.1.6 - Inventariado Acceso Móvil Entregables;7088;AIE9;EMR: cumplimiento de normativa
a.1.6 - Inventariado Acceso Móvil Entregables;7139;AIE10;Autoaceptación hito correctamente creada
a.1.7 - Inventariado Acceso Móvil-Core;3979;ACI1;Creación Tarjetas y cableado (GIROS)
a.1.7 - Inventariado Acceso Móvil-Core;3980;ACI2a;Documentación de trails  (GIROS). CRÍTICO: cuando falte inventariado, que es posible incluir en la herramienta, que impide poner en servicio el circuito o localización para su posterior supervisión (equipos, puertos, ruta, administrativos de líneas con OOR,
a.1.7 - Inventariado Acceso Móvil-Core;3981;ACI2b;Documentación de trails  (GIROS) LEVE: cuando se trate de errores que no afectan a la puesta en servicio o localización para posterior supervisión (tipado de trails, nombre del proyecto involucrado en la creación del trail, etc.)
a.1.7 - Inventariado Acceso Móvil-Core;3982;ACI3;Ruta trail y protección (GIROS)
a.1.7 - Inventariado Acceso Móvil-Core;3983;ACI4;Actualización FICHEROS DE RED: a.- Puertos TRAUs /    b.-Parametros MSC-Servers y MGWs /  c.- Asignación TS routers-sgns-msc  / d.- Actualización Anillos Tx / e.-Entrega Documentación proyecto /    f.- Ficheros Direccionamiento  (1)
a.1.7 - Inventariado Acceso Móvil-Core;3984;ACI5;Inventariado del direccionamiento IP (interfaces: Iu CS, Iu PS, GboIP, SIGTRAN….) (FICHEROS RED)
a.1.7 - Inventariado Acceso Móvil-Core;6914;AIC6;Ruta trail y protección (GIROS) (GRAVE: no afecte al servicio o mantenimiento)
a.2 - Inventariado Core;5676;CIS1.1;Creación/Modificación/Eliminación Equipos en red: Codificación (SEDRA)
a.2 - Inventariado Core;5678;CIG2;Creación/Modificación/Eliminación Tarjetas y cableado (GIROS)
a.2 - Inventariado Core;5679;CIG3a;Documentación de trails  (GIROS). CRÍTICO: cuando falte inventariado, que es posible incluir en la herramienta, que impide poner en servicio el circuito o localización para su posterior supervisión (equipos, puertos, ruta, administrativos de líneas con OOR, etc.).
a.2 - Inventariado Core;5680;CIG3b;Documentación de trails  (GIROS) LEVE: cuando se trate de errores que no afectan a la puesta en servicio o localización para posterior supervisión (tipado de trails, nombre del proyecto involucrado en la creación del trail, etc.)
a.2 - Inventariado Core;5681;CIG4;Ruta trail y protección (GIROS)
a.2 - Inventariado Core;5683;CIG6;Inventariado del direccionamiento IP (GIROS)
a.2 - Inventariado Core;6108;CIG7;Inventariado numeración (GIROS)
a.2 - Inventariado Core;6109;CIG8;Inventariado sincronismo (GIROS)
a.2 - Inventariado Core;6110;CIG9;Inventariado sincronismo (FICHEROS RED)
a.2 - Inventariado Core;6139;CIG5a;Actualización FICHEROS DE RED (GRAVE):cuando falta documentación o hay errores que impiden poner en servicio el trabajo o localización para su posterior supervisión. a.- Puertos PTSs: 1 y 2 y móvil / b.- Puertos TRAUs / c.-Parametros MSC-Servers y MGWs / d.- Ficheros PSTN y RED DATOS: INDT, INDR, CACs… / e.- Ficheros red móvil: RC / f.- Asignación TS routers-sgns-msc / g.- Puertos Call Center / h.- Actualización Anillos Tx / i.-Entrega Documentación proyecto / k.- Ficheros Direccionamiento (1)
a.2 - Inventariado Core;6140;CIG5b;Actualización FICHEROS DE RED (LEVE): cuando el error de documentación NO impide poner en servicio el trabajo o localización para su posterior supervisión. a.- Puertos PTSs: 1 y 2 y móvil / b.- Puertos TRAUs / c.-Parametros MSC-Servers y MGWs / d.- Ficheros PSTN y RED DATOS: INDT, INDR, CACs… / e.- Ficheros red móvil: RC / f.- Asignación TS routers-sgns-msc / g.- Puertos Call Center / h.- Actualización Anillos Tx / i.-Entrega Documentación proyecto / k.- Ficheros Direccionamiento (1)
a.2 - Inventariado Core;7124;CIG6;Inventariado del direccionamiento IP (IPAM)
a.2 - Inventariado Core;7142;CIG7;Autoaceptación hito correctamente creada
a.3 - Inventariado Transporte;3563;TIE5;Inventariado sincronismo (FICHEROS RED)
a.3 - Inventariado Transporte;3570;TIG11a;Alta/Baja/Modificación trails (Equipos/Puertos/Comentario) (GIROS) CRÍTICO: cuando falte inventariado, que es posible incluir en la herramienta, que impide poner en servicio el circuito o localización para su posterior supervisión (tarjeta creada con un nombre que no permita identificarla, con distinta velocidad, etc.)..
a.3 - Inventariado Transporte;3573;TIG13;Ruta trail y protección (GIROS)
a.3 - Inventariado Transporte;5684;TIG1;Alta/Baja/Modificación Anillos (GIROS)
a.3 - Inventariado Transporte;5685;TIG2.1;Alta/Baja/Modificación Equipos (GIROS)
a.3 - Inventariado Transporte;5686;TIS2.2;Alta/Baja/Modificación Equipos (SEDRA)
a.3 - Inventariado Transporte;5687;TIE3;Puertos swicth de la DCN y OT configuración (FICHEROS RED)
a.3 - Inventariado Transporte;5688;TIE4;IP’s tarjetas ISA (FICHEROS RED)
a.3 - Inventariado Transporte;5690;TIG6;Creación/Modificación/Eliminación Sedes (GIROS)
a.3 - Inventariado Transporte;5691;TIG7;Creación/Modificación/Eliminación Salas (GIROS)
a.3 - Inventariado Transporte;5692;TIG8a;Creación/Modificación/Eliminación Tarjetas (GIROS) GRAVE: cuando falte inventariado, que es posible incluir en la herramienta, que impide poner en servicio el circuito o localización para su posterior supervisión (tarjeta creada con un nombre que no permita identificarla, con distinta velocidad, etc.).
